Htno,Sem,Subcode,Subname,Internal,External,Marks,Dept Name
15NG1A04B2,1-2,R13202,MATHEMATICS-III,12,28,40,ECE
15NG1A04B2,1-2,R13205,C PROGRAMMING,20,32,52,ECE
15NG1A04B2,1-2,R13211,NETWORK ANALYSIS,24,0,24,ECE
15NG1A04B3,1-2,R13201,ENGLISH-II,16,16,32,ECE
15NG1A04B3,1-2,R13205,C PROGRAMMING,11,0,11,ECE
15NG1A04B3,1-2,R13210,ENGG. MECHANICS,12,2,14,ECE
15NG1A04B7,1-2,R13202,MATHEMATICS-III,18,37,55,ECE
15NG1A04B7,1-2,R13211,NETWORK ANALYSIS,20,36,56,ECE
15NG1A04B9,1-2,R13201,ENGLISH-II,18,30,48,ECE
15NG1A04B9,1-2,R13202,MATHEMATICS-III,17,24,41,ECE
15NG1A04B9,1-2,R13204,ENGG. CHEMISTRY,20,2,22,ECE
15NG1A04B9,1-2,R13205,C PROGRAMMING,18,8,26,ECE
15NG1A04C1,1-2,R13202,MATHEMATICS-III,16,32,48,ECE
15NG1A04C1,1-2,R13204,ENGG. CHEMISTRY,24,29,53,ECE
15NG1A04C2,1-2,R13205,C PROGRAMMING,20,5,25,ECE
15NG1A04C4,1-2,R13211,NETWORK ANALYSIS,23,4,27,ECE
15NG1A04C5,1-2,R13205,C PROGRAMMING,16,1,17,ECE
15NG1A04C5,1-2,R13211,NETWORK ANALYSIS,22,29,51,ECE
15NG1A04C7,1-2,R13204,ENGG. CHEMISTRY,16,9,25,ECE
15NG1A04C7,1-2,R13205,C PROGRAMMING,16,4,20,ECE
15NG1A04C7,1-2,R13211,NETWORK ANALYSIS,20,4,24,ECE
15NG1A04D3,1-2,R13202,MATHEMATICS-III,16,24,40,ECE
15NG1A04D3,1-2,R13205,C PROGRAMMING,17,2,19,ECE
15NG1A04D3,1-2,R13210,ENGG. MECHANICS,23,29,52,ECE
15NG1A04D4,1-2,R13202,MATHEMATICS-III,13,29,42,ECE
15NG1A04D4,1-2,R13205,C PROGRAMMING,16,1,17,ECE
15NG1A04D7,1-2,R13204,ENGG. CHEMISTRY,22,12,34,ECE
15NG1A04D7,1-2,R13205,C PROGRAMMING,19,2,21,ECE
15NG1A04D8,1-2,R13205,C PROGRAMMING,19,2,21,ECE
15NG1A04D8,1-2,R13211,NETWORK ANALYSIS,24,18,42,ECE
15NG1A04D9,1-2,R13201,ENGLISH-II,20,36,56,ECE
15NG1A04D9,1-2,R13202,MATHEMATICS-III,16,29,45,ECE
15NG1A04D9,1-2,R13211,NETWORK ANALYSIS,21,14,35,ECE
15NG1A04E0,1-2,R13202,MATHEMATICS-III,12,19,31,ECE
15NG1A04E0,1-2,R13205,C PROGRAMMING,16,0,16,ECE
15NG1A04E0,1-2,R13210,ENGG. MECHANICS,27,12,39,ECE
15NG1A0501,1-2,R13203,ENGG. PHYSICS,21,0,21,CSE
15NG1A0501,1-2,R13207,MATHEMATICS-II (MM),17,13,30,CSE
15NG1A0502,1-2,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,20,3,23,CSE
15NG1A0504,1-2,R13202,MATHEMATICS-III,21,13,34,CSE
15NG1A0504,1-2,R13203,ENGG. PHYSICS,20,2,22,CSE
15NG1A0504,1-2,R13207,MATHEMATICS-II (MM),16,29,45,CSE
15NG1A0505,1-2,R13203,ENGG. PHYSICS,22,8,30,CSE
15NG1A0505,1-2,R13209,ENGG. DRAWING,30,7,37,CSE
15NG1A0506,1-2,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,21,40,61,CSE
15NG1A0508,1-2,R13202,MATHEMATICS-III,29,33,62,CSE
15NG1A0508,1-2,R13203,ENGG. PHYSICS,19,24,43,CSE
15NG1A0508,1-2,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,22,48,70,CSE
15NG1A0509,1-2,R13207,MATHEMATICS-II (MM),24,38,62,CSE
15NG1A0509,1-2,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,21,41,62,CSE
15NG1A0510,1-2,R13202,MATHEMATICS-III,24,12,36,CSE
15NG1A0510,1-2,R13207,MATHEMATICS-II (MM),19,47,66,CSE
15NG1A0511,1-2,R13202,MATHEMATICS-III,23,0,23,CSE
15NG1A0511,1-2,R13203,ENGG. PHYSICS,17,0,17,CSE
15NG1A0512,1-2,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,22,50,72,CSE
15NG1A0513,1-2,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,24,48,72,CSE
15NG1A0513,1-2,R13209,ENGG. DRAWING,28,31,59,CSE
15NG1A0514,1-2,R13201,ENGLISH-II,19,24,43,CSE
15NG1A0514,1-2,R13202,MATHEMATICS-III,21,3,24,CSE
15NG1A0514,1-2,R13209,ENGG. DRAWING,16,16,32,CSE
15NG1A0515,1-2,R13202,MATHEMATICS-III,18,10,28,CSE
15NG1A0515,1-2,R13203,ENGG. PHYSICS,23,11,34,CSE
15NG1A0516,1-2,R13209,ENGG. DRAWING,25,32,57,CSE
15NG1A0517,1-2,R13203,ENGG. PHYSICS,21,10,31,CSE
15NG1A0518,1-2,R13207,MATHEMATICS-II (MM),27,38,65,CSE
15NG1A0519,1-2,R13203,ENGG. PHYSICS,23,2,25,CSE
15NG1A0519,1-2,R13209,ENGG. DRAWING,20,33,53,CSE
15NG1A0520,1-2,R13202,MATHEMATICS-III,25,30,55,CSE
15NG1A0520,1-2,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,24,37,61,CSE
15NG1A0521,1-2,R13202,MATHEMATICS-III,23,0,23,CSE
15NG1A0521,1-2,R13203,ENGG. PHYSICS,12,0,12,CSE
15NG1A0521,1-2,R13207,MATHEMATICS-II (MM),21,0,21,CSE
15NG1A0521,1-2,R13209,ENGG. DRAWING,20,0,20,CSE
15NG1A0525,1-2,R13207,MATHEMATICS-II (MM),18,39,57,CSE
15NG1A0525,1-2,R13209,ENGG. DRAWING,20,29,49,CSE
15NG1A0526,1-2,R13202,MATHEMATICS-III,24,28,52,CSE
15NG1A0528,1-2,R13202,MATHEMATICS-III,25,29,54,CSE
15NG1A0531,1-2,R13202,MATHEMATICS-III,18,7,25,CSE
15NG1A0531,1-2,R13203,ENGG. PHYSICS,18,2,20,CSE
15NG1A0531,1-2,R13207,MATHEMATICS-II (MM),17,38,55,CSE
15NG1A0532,1-2,R13202,MATHEMATICS-III,22,34,56,CSE
15NG1A0533,1-2,R13207,MATHEMATICS-II (MM),21,27,48,CSE
15NG1A0533,1-2,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,21,24,45,CSE
15NG1A0533,1-2,R13209,ENGG. DRAWING,16,0,16,CSE
15NG1A0534,1-2,R13202,MATHEMATICS-III,24,30,54,CSE
15NG1A0535,1-2,R13202,MATHEMATICS-III,17,5,22,CSE
15NG1A0535,1-2,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,17,4,21,CSE
15NG1A0536,1-2,R13202,MATHEMATICS-III,16,0,16,CSE
15NG1A0536,1-2,R13203,ENGG. PHYSICS,18,0,18,CSE
15NG1A0536,1-2,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,20,38,58,CSE
15NG1A0539,1-2,R13203,ENGG. PHYSICS,24,9,33,CSE
15NG1A0540,1-2,R13202,MATHEMATICS-III,18,0,18,CSE
15NG1A0540,1-2,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,23,24,47,CSE
15NG1A0540,1-2,R13209,ENGG. DRAWING,16,0,16,CSE
15NG1A0541,1-2,R13209,ENGG. DRAWING,25,18,43,CSE
15NG1A0542,1-2,R13201,ENGLISH-II,17,28,45,CSE
15NG1A0542,1-2,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,21,24,45,CSE
15NG1A0542,1-2,R13209,ENGG. DRAWING,16,4,20,CSE
15NG1A0543,1-2,R13203,ENGG. PHYSICS,19,5,24,CSE
15NG1A0543,1-2,R13209,ENGG. DRAWING,24,9,33,CSE
15NG1A0544,1-2,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,20,32,52,CSE
15NG1A0545,1-2,R13202,MATHEMATICS-III,23,32,55,CSE
15NG1A0545,1-2,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,21,34,55,CSE
15NG1A0545,1-2,R13209,ENGG. DRAWING,27,15,42,CSE
15NG1A0546,1-2,R13202,MATHEMATICS-III,21,11,32,CSE
15NG1A0547,1-2,R13202,MATHEMATICS-III,23,11,34,CSE
15NG1A0547,1-2,R13203,ENGG. PHYSICS,19,6,25,CSE
15NG1A0549,1-2,R13209,ENGG. DRAWING,30,10,40,CSE
15NG1A0552,1-2,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,20,31,51,CSE
15NG1A0553,1-2,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,22,29,51,CSE
15NG1A0554,1-2,R13202,MATHEMATICS-III,20,28,48,CSE
15NG1A0555,1-2,R13203,ENGG. PHYSICS,21,3,24,CSE
15NG1A0556,1-2,R13202,MATHEMATICS-III,24,28,52,CSE
15NG1A0556,1-2,R13203,ENGG. PHYSICS,19,2,21,CSE
15NG1A0556,1-2,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,24,29,53,CSE
15NG1A0557,1-2,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,26,54,80,CSE
15NG1A0558,1-2,R13207,MATHEMATICS-II (MM),22,29,51,CSE
