htno,sem,subcode,subname,internal,external,marks,dept
15NG1A0107,1-2 SEM,R13213,ENGLISH-COMMUNICATION SKILLS LAB-II,24,45,69,CE
15NG1A0107,1-2 SEM,R13214,ENGINEERING PHYSICS LAB,22,43,65,CE
15NG1A0107,1-2 SEM,R13216,ENGINEERING WORKSHOP & IT WORKSHOP,21,42,63,CE
15NG1A0108,1-2 SEM,R13201,ENGLISH-II,23,33,56,CE
15NG1A0108,1-2 SEM,R13202,MATHEMATICS-III,21,33,54,CE
15NG1A0108,1-2 SEM,R13203,ENGG. PHYSICS,16,25,41,CE
15NG1A0108,1-2 SEM,R13207,MATHEMATICS-II (MM),26,42,68,CE
15NG1A0108,1-2 SEM,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,23,45,68,CE
15NG1A0108,1-2 SEM,R13209,ENGG. DRAWING,25,37,62,CE
15NG1A0108,1-2 SEM,R13213,ENGLISH-COMMUNICATION SKILLS LAB-II,23,44,67,CE
15NG1A0108,1-2 SEM,R13214,ENGINEERING PHYSICS LAB,20,42,62,CE
15NG1A0108,1-2 SEM,R13216,ENGINEERING WORKSHOP & IT WORKSHOP,21,42,63,CE
15NG1A0109,1-2 SEM,R13201,ENGLISH-II,22,36,58,CE
15NG1A0109,1-2 SEM,R13202,MATHEMATICS-III,27,32,59,CE
15NG1A0109,1-2 SEM,R13203,ENGG. PHYSICS,24,24,48,CE
15NG1A0109,1-2 SEM,R13207,MATHEMATICS-II (MM),28,42,70,CE
15NG1A0109,1-2 SEM,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,22,18,40,CE
15NG1A0109,1-2 SEM,R13209,ENGG. DRAWING,26,42,68,CE
15NG1A0109,1-2 SEM,R13213,ENGLISH-COMMUNICATION SKILLS LAB-II,23,45,68,CE
15NG1A0109,1-2 SEM,R13214,ENGINEERING PHYSICS LAB,24,49,73,CE
15NG1A0109,1-2 SEM,R13216,ENGINEERING WORKSHOP & IT WORKSHOP,24,48,72,CE
15NG1A0110,1-2 SEM,R13201,ENGLISH-II,18,30,48,CE
15NG1A0110,1-2 SEM,R13202,MATHEMATICS-III,26,18,44,CE
15NG1A0110,1-2 SEM,R13203,ENGG. PHYSICS,22,24,46,CE
15NG1A0110,1-2 SEM,R13207,MATHEMATICS-II (MM),22,26,48,CE
15NG1A0110,1-2 SEM,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,21,25,46,CE
15NG1A0110,1-2 SEM,R13209,ENGG. DRAWING,27,30,57,CE
15NG1A0110,1-2 SEM,R13213,ENGLISH-COMMUNICATION SKILLS LAB-II,24,46,70,CE
15NG1A0110,1-2 SEM,R13214,ENGINEERING PHYSICS LAB,24,49,73,CE
15NG1A0110,1-2 SEM,R13216,ENGINEERING WORKSHOP & IT WORKSHOP,22,44,66,CE
15NG1A0111,1-2 SEM,R13201,ENGLISH-II,27,50,77,CE
15NG1A0111,1-2 SEM,R13202,MATHEMATICS-III,27,25,52,CE
15NG1A0111,1-2 SEM,R13203,ENGG. PHYSICS,24,24,48,CE
15NG1A0111,1-2 SEM,R13207,MATHEMATICS-II (MM),24,41,65,CE
15NG1A0111,1-2 SEM,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,23,25,48,CE
15NG1A0111,1-2 SEM,R13209,ENGG. DRAWING,27,12,39,CE
15NG1A0111,1-2 SEM,R13213,ENGLISH-COMMUNICATION SKILLS LAB-II,25,50,75,CE
